row,action,item,room,cabinet,bin,quantity,is_consumable,warnings,errors,created_id
67,skip,,,,,,,Empty item name — row skipped,,
68,skip,,,,,,,Empty item name — row skipped,,
69,skip,,,,,,,Empty item name — row skipped,,
70,skip,,,,,,,Empty item name — row skipped,,
71,skip,,,,,,,Empty item name — row skipped,,
72,skip,,,,,,,Empty item name — row skipped,,
73,skip,,,,,,,Empty item name — row skipped,,
74,skip,,,,,,,Empty item name — row skipped,,
75,skip,,,,,,,Empty item name — row skipped,,
76,skip,,,,,,,Empty item name — row skipped,,
77,skip,,,,,,,Empty item name — row skipped,,
78,skip,,,,,,,Empty item name — row skipped,,
79,skip,,,,,,,Empty item name — row skipped,,
80,skip,,,,,,,Empty item name — row skipped,,
81,skip,,,,,,,Empty item name — row skipped,,
82,skip,,,,,,,Empty item name — row skipped,,
83,skip,,,,,,,Empty item name — row skipped,,
84,skip,,,,,,,Empty item name — row skipped,,
85,skip,,,,,,,Empty item name — row skipped,,
86,skip,,,,,,,Empty item name — row skipped,,
87,skip,,,,,,,Empty item name — row skipped,,
88,skip,,,,,,,Empty item name — row skipped,,
89,skip,,,,,,,Empty item name — row skipped,,
90,skip,,,,,,,Empty item name — row skipped,,
91,skip,,,,,,,Empty item name — row skipped,,
92,skip,,,,,,,Empty item name — row skipped,,
93,skip,,,,,,,Empty item name — row skipped,,
94,skip,,,,,,,Empty item name — row skipped,,
95,skip,,,,,,,Empty item name — row skipped,,
96,skip,,,,,,,Empty item name — row skipped,,
97,skip,,,,,,,Empty item name — row skipped,,
98,skip,,,,,,,Empty item name — row skipped,,
99,skip,,,,,,,Empty item name — row skipped,,
100,skip,,,,,,,Empty item name — row skipped,,
101,skip,,,,,,,Empty item name — row skipped,,
102,skip,,,,,,,Empty item name — row skipped,,
103,skip,,,,,,,Empty item name — row skipped,,
104,skip,,,,,,,Empty item name — row skipped,,
105,skip,,,,,,,Empty item name — row skipped,,
106,skip,,,,,,,Empty item name — row skipped,,
107,skip,,,,,,,Empty item name — row skipped,,
108,skip,,,,,,,Empty item name — row skipped,,
109,skip,,,,,,,Empty item name — row skipped,,
110,skip,,,,,,,Empty item name — row skipped,,
111,skip,,,,,,,Empty item name — row skipped,,
112,skip,,,,,,,Empty item name — row skipped,,
113,skip,,,,,,,Empty item name — row skipped,,
114,skip,,,,,,,Empty item name — row skipped,,
115,skip,,,,,,,Empty item name — row skipped,,
116,skip,,,,,,,Empty item name — row skipped,,
117,skip,,,,,,,Empty item name — row skipped,,
118,skip,,,,,,,Empty item name — row skipped,,
119,skip,,,,,,,Empty item name — row skipped,,
120,skip,,,,,,,Empty item name — row skipped,,
121,skip,,,,,,,Empty item name — row skipped,,
122,skip,,,,,,,Empty item name — row skipped,,
123,skip,,,,,,,Empty item name — row skipped,,
124,skip,,,,,,,Empty item name — row skipped,,
125,skip,,,,,,,Empty item name — row skipped,,
126,skip,,,,,,,Empty item name — row skipped,,
127,skip,,,,,,,Empty item name — row skipped,,
128,skip,,,,,,,Empty item name — row skipped,,
129,skip,,,,,,,Empty item name — row skipped,,
130,skip,,,,,,,Empty item name — row skipped,,
131,skip,,,,,,,Empty item name — row skipped,,
132,skip,,,,,,,Empty item name — row skipped,,
133,skip,,,,,,,Empty item name — row skipped,,
134,skip,,,,,,,Empty item name — row skipped,,
135,skip,,,,,,,Empty item name — row skipped,,
136,skip,,,,,,,Empty item name — row skipped,,
137,skip,,,,,,,Empty item name — row skipped,,
138,skip,,,,,,,Empty item name — row skipped,,
139,skip,,,,,,,Empty item name — row skipped,,
140,skip,,,,,,,Empty item name — row skipped,,
141,skip,,,,,,,Empty item name — row skipped,,
142,skip,,,,,,,Empty item name — row skipped,,
143,skip,,,,,,,Empty item name — row skipped,,
144,skip,,,,,,,Empty item name — row skipped,,
145,skip,,,,,,,Empty item name — row skipped,,
146,skip,,,,,,,Empty item name — row skipped,,
147,skip,,,,,,,Empty item name — row skipped,,
148,skip,,,,,,,Empty item name — row skipped,,
149,skip,,,,,,,Empty item name — row skipped,,
150,skip,,,,,,,Empty item name — row skipped,,
151,skip,,,,,,,Empty item name — row skipped,,
152,skip,,,,,,,Empty item name — row skipped,,
153,skip,,,,,,,Empty item name — row skipped,,
154,skip,,,,,,,Empty item name — row skipped,,
155,skip,,,,,,,Empty item name — row skipped,,
156,skip,,,,,,,Empty item name — row skipped,,
157,skip,,,,,,,Empty item name — row skipped,,
158,skip,,,,,,,Empty item name — row skipped,,
159,skip,,,,,,,Empty item name — row skipped,,
160,skip,,,,,,,Empty item name — row skipped,,
161,skip,,,,,,,Empty item name — row skipped,,
162,skip,,,,,,,Empty item name — row skipped,,
163,skip,,,,,,,Empty item name — row skipped,,
164,skip,,,,,,,Empty item name — row skipped,,
165,skip,,,,,,,Empty item name — row skipped,,
166,skip,,,,,,,Empty item name — row skipped,,
167,skip,,,,,,,Empty item name — row skipped,,
168,skip,,,,,,,Empty item name — row skipped,,
169,skip,,,,,,,Empty item name — row skipped,,
170,skip,,,,,,,Empty item name — row skipped,,
171,skip,,,,,,,Empty item name — row skipped,,
172,skip,,,,,,,Empty item name — row skipped,,
173,skip,,,,,,,Empty item name — row skipped,,
174,skip,,,,,,,Empty item name — row skipped,,
175,skip,,,,,,,Empty item name — row skipped,,
176,skip,,,,,,,Empty item name — row skipped,,
177,skip,,,,,,,Empty item name — row skipped,,
178,skip,,,,,,,Empty item name — row skipped,,
179,skip,,,,,,,Empty item name — row skipped,,
180,skip,,,,,,,Empty item name — row skipped,,
181,skip,,,,,,,Empty item name — row skipped,,
182,skip,,,,,,,Empty item name — row skipped,,
183,skip,,,,,,,Empty item name — row skipped,,
184,skip,,,,,,,Empty item name — row skipped,,
185,skip,,,,,,,Empty item name — row skipped,,
186,skip,,,,,,,Empty item name — row skipped,,
187,skip,,,,,,,Empty item name — row skipped,,
188,skip,,,,,,,Empty item name — row skipped,,
189,skip,,,,,,,Empty item name — row skipped,,
190,skip,,,,,,,Empty item name — row skipped,,
191,skip,,,,,,,Empty item name — row skipped,,
192,skip,,,,,,,Empty item name — row skipped,,
193,skip,,,,,,,Empty item name — row skipped,,
194,skip,,,,,,,Empty item name — row skipped,,
195,skip,,,,,,,Empty item name — row skipped,,
196,skip,,,,,,,Empty item name — row skipped,,
197,skip,,,,,,,Empty item name — row skipped,,
198,skip,,,,,,,Empty item name — row skipped,,
199,skip,,,,,,,Empty item name — row skipped,,
200,skip,,,,,,,Empty item name — row skipped,,
201,skip,,,,,,,Empty item name — row skipped,,
202,skip,,,,,,,Empty item name — row skipped,,
203,skip,,,,,,,Empty item name — row skipped,,
204,skip,,,,,,,Empty item name — row skipped,,
205,skip,,,,,,,Empty item name — row skipped,,
206,skip,,,,,,,Empty item name — row skipped,,
207,skip,,,,,,,Empty item name — row skipped,,
208,skip,,,,,,,Empty item name — row skipped,,
209,skip,,,,,,,Empty item name — row skipped,,
210,skip,,,,,,,Empty item name — row skipped,,
211,skip,,,,,,,Empty item name — row skipped,,
212,skip,,,,,,,Empty item name — row skipped,,
213,skip,,,,,,,Empty item name — row skipped,,
214,skip,,,,,,,Empty item name — row skipped,,
215,skip,,,,,,,Empty item name — row skipped,,
216,skip,,,,,,,Empty item name — row skipped,,
217,skip,,,,,,,Empty item name — row skipped,,
218,skip,,,,,,,Empty item name — row skipped,,
219,skip,,,,,,,Empty item name — row skipped,,
220,skip,,,,,,,Empty item name — row skipped,,
221,skip,,,,,,,Empty item name — row skipped,,
222,skip,,,,,,,Empty item name — row skipped,,
223,skip,,,,,,,Empty item name — row skipped,,
224,skip,,,,,,,Empty item name — row skipped,,
225,skip,,,,,,,Empty item name — row skipped,,
226,skip,,,,,,,Empty item name — row skipped,,
227,skip,,,,,,,Empty item name — row skipped,,
228,skip,,,,,,,Empty item name — row skipped,,
229,skip,,,,,,,Empty item name — row skipped,,
230,skip,,,,,,,Empty item name — row skipped,,
231,skip,,,,,,,Empty item name — row skipped,,
232,skip,,,,,,,Empty item name — row skipped,,
233,skip,,,,,,,Empty item name — row skipped,,
234,skip,,,,,,,Empty item name — row skipped,,
235,skip,,,,,,,Empty item name — row skipped,,
236,skip,,,,,,,Empty item name — row skipped,,
237,skip,,,,,,,Empty item name — row skipped,,
238,skip,,,,,,,Empty item name — row skipped,,
239,skip,,,,,,,Empty item name — row skipped,,
240,skip,,,,,,,Empty item name — row skipped,,
241,skip,,,,,,,Empty item name — row skipped,,
242,skip,,,,,,,Empty item name — row skipped,,
243,skip,,,,,,,Empty item name — row skipped,,
244,skip,,,,,,,Empty item name — row skipped,,
245,skip,,,,,,,Empty item name — row skipped,,
246,skip,,,,,,,Empty item name — row skipped,,
247,skip,,,,,,,Empty item name — row skipped,,
248,skip,,,,,,,Empty item name — row skipped,,
249,skip,,,,,,,Empty item name — row skipped,,
250,skip,,,,,,,Empty item name — row skipped,,
251,skip,,,,,,,Empty item name — row skipped,,
252,skip,,,,,,,Empty item name — row skipped,,
253,skip,,,,,,,Empty item name — row skipped,,
254,skip,,,,,,,Empty item name — row skipped,,
255,skip,,,,,,,Empty item name — row skipped,,
256,skip,,,,,,,Empty item name — row skipped,,
257,skip,,,,,,,Empty item name — row skipped,,
258,skip,,,,,,,Empty item name — row skipped,,
259,skip,,,,,,,Empty item name — row skipped,,
260,skip,,,,,,,Empty item name — row skipped,,
261,skip,,,,,,,Empty item name — row skipped,,
262,skip,,,,,,,Empty item name — row skipped,,
263,skip,,,,,,,Empty item name — row skipped,,
264,skip,,,,,,,Empty item name — row skipped,,
265,skip,,,,,,,Empty item name — row skipped,,
266,skip,,,,,,,Empty item name — row skipped,,
267,skip,,,,,,,Empty item name — row skipped,,
268,skip,,,,,,,Empty item name — row skipped,,
269,skip,,,,,,,Empty item name — row skipped,,
270,create,Decorative Pom poms,Shishu Mandal Top Cabinet,Middle,,1200.0,True,,,
271,create,Eraser Capsule Toys,Shishu Mandal Top Cabinet,Middle,,17.0,True,,,
272,create,Googly Eyes,Shishu Mandal Top Cabinet,Middle,,1000.0,True,,,
273,create,Googly Eyes Bag,Shishu Mandal Top Cabinet,Middle,,250.0,True,,,
274,create,Pipe Cleaners - Multi Colored,Shishu Mandal Top Cabinet,Middle,,280.0,True,,,
275,create,Thin Felt Fabric Sheets,Shishu Mandal Top Cabinet,Middle,,52.0,True,,,
276,create,Foam Sheets,Shishu Mandal Top Cabinet,Middle,,100.0,True,,,
277,create,Tarp,Shishu Mandal Top Cabinet,Top,,1.0,False,,,
278,create,Colorful Straws,Shishu Mandal Top Cabinet,Bottom,,300.0,True,,,
279,create,Kid Safe Scissors,Shishu Mandal Top Cabinet,Bottom,,4.0,False,,,
280,create,Scissors,Shishu Mandal Top Cabinet,Bottom,,6.0,False,,,
281,create,Exacto Knives,Shishu Mandal Top Cabinet,Bottom,,2.0,False,,,
282,create,Colorful Popsicle Sticks,Shishu Mandal Top Cabinet,Bottom,,2000.0,True,,,
283,create,Sticker Pack,Shishu Mandal Top Cabinet,Bottom,,3200.0,True,,,
284,create,Glitter Paper,Shishu Mandal Bottom Cabinet,Top,,8.0,True,,,
285,create,Teal Paper,Shishu Mandal Bottom Cabinet,Top,,93.0,True,,,
286,create,Glue Gun,Shishu Mandal Bottom Cabinet,Top,,1.0,False,,,
287,create,Multi Color Construction Paper,Shishu Mandal Bottom Cabinet,Top,,473.0,True,,,
288,create,White Construction Paper,Shishu Mandal Bottom Cabinet,Top,,19.0,True,,,
289,create,Dark Blue Construction Paper,Shishu Mandal Bottom Cabinet,Top,,15.0,True,,,
290,create,3M Velcro,Shishu Mandal Bottom Cabinet,Top,,5.0,True,,,
291,create,Red Electrical Tape,Shishu Mandal Bottom Cabinet,Top,,1.0,True,,,
292,create,Double Sided Tape,Shishu Mandal Bottom Cabinet,Top,,1.0,True,,,
293,create,Paintbrush,Shishu Mandal Bottom Cabinet,Top,,21.0,False,,,
294,create,Glue Dots,Shishu Mandal Bottom Cabinet,Top,,40.0,True,,,
295,create,Elmers Glue Sticks,Shishu Mandal Bottom Cabinet,Top,,30.0,True,,,
296,create,Glue Gun Sticks,Shishu Mandal Bottom Cabinet,Top,,3.0,True,,,
297,create,Packing Tape,Shishu Mandal Bottom Cabinet,Top,,1.0,True,,,
298,create,Green Masking Tape,Shishu Mandal Bottom Cabinet,Top,,1.0,True,,,
299,create,Blue Masking Tape,Shishu Mandal Bottom Cabinet,Top,,3.0,True,,,
300,create,Black Masking Tape,Shishu Mandal Bottom Cabinet,Top,,3.0,True,,,
301,create,Clear Tape,Shishu Mandal Bottom Cabinet,Top,,1.0,True,,,
302,create,Elmers Glue Bottle,Shishu Mandal Bottom Cabinet,Top,,3.0,False,,,
303,create,Chalk,Shishu Mandal Bottom Cabinet,Middle,,32.0,False,,,
304,create,Black Sharpies,Shishu Mandal Bottom Cabinet,Middle,,3.0,False,,,
305,create,Super Tip Markers,Shishu Mandal Bottom Cabinet,Middle,,50.0,False,,,
306,create,Big Pack Markers,Shishu Mandal Bottom Cabinet,MIddle,,208.0,False,,,
307,create,Big Pack Crayons,Shishu Mandal Bottom Cabinet,Middle,,720.0,False,,,
308,create,Crayola Crayon 24 Pack,Shishu Mandal Bottom Cabinet,Middle,,5.0,False,,,
309,create,Pencils,Shishu Mandal Bottom Cabinet,Middle,,100.0,False,,,
310,create,Finger Paint,Shishu Mandal Bottom Cabinet,Middle,,12.0,False,,,
311,create,Sharpies - Multicolor,Shishu Mandal Bottom Cabinet,Middle,,24.0,False,,,
312,create,Play-Doh,Shishu Mandal Bottom Cabinet,Bottom,,48.0,False,,,
313,create,Small Cup Cake Liners,Shishu Mandal Bottom Cabinet,Bottom,,40.0,True,,,
314,create,Colorful Sponges,Shishu Mandal Bottom Cabinet,Bottom,,24.0,True,,,
315,create,Sponge,Shishu Mandal Bottom Cabinet,Bottom,,1.2,True,,,
316,create,Big Cup Cake Liners,Shishu Mandal Bottom Cabinet,Bottom,,50.0,True,,,
317,create,Calendar Items,Shishu Mandal Bottom Cabinet,Bottom,,1.0,False,,,
318,create,Beige String,Shishu Mandal Bottom Cabinet,Bottom,,1.0,True,,,
